Hay_Bone_Marrow_CD34_pos_CLP	Hay_Bone_Marrow_CD34_pos_Eo_B_Mast	Hay_Bone_Marrow_CD34_pos_ERP	Hay_Bone_Marrow_CD34_pos_ERP_Early	Hay_Bone_Marrow_CD34_pos_Gran	Hay_Bone_Marrow_CD34_pos_HSC	Hay_Bone_Marrow_CD34_pos_HSC_cycle	Hay_Bone_Marrow_CD34_pos_LMPP	Hay_Bone_Marrow_CD34_pos_Lymphoid_UNK	Hay_Bone_Marrow_CD34_pos_MDP_1	Hay_Bone_Marrow_CD34_pos_MDP_2	Hay_Bone_Marrow_CD34_pos_MEP	Hay_Bone_Marrow_CD34_pos_MKP	Hay_Bone_Marrow_CD34_pos_MultiLin	Hay_Bone_Marrow_CD34_pos_pre_B	Hay_Bone_Marrow_CD34_pos_pre_B_cycling	Hay_Bone_Marrow_CD34_pos_pre_PC	Hay_Bone_Marrow_CD34_pos_pre_T	Hay_Bone_Marrow_CD8_T_cell	Hay_Bone_Marrow_Dendritic_Cell	Hay_Bone_Marrow_Early_Erythroblast	Hay_Bone_Marrow_Eosinophil	Hay_Bone_Marrow_Follicular_B_cell	Hay_Bone_Marrow_Granulocytic_UNK	Hay_Bone_Marrow_Immature_Neutrophil	Hay_Bone_Marrow_Monocyte	Hay_Bone_Marrow_Naive_T_cell	Hay_Bone_Marrow_Neutrophil	Hay_Bone_Marrow_NK_cells	Hay_Bone_Marrow_Plasma_Cell	Hay_Bone_Marrow_Platelet	Hay_Bone_Marrow_Pre_Dendritic	Hay_Bone_Marrow_Pro_B	Hay_Bone_Marrow_Stromal
PKHD1	TPSG1	ITGB4	ZNF555	SLC2A5	C9orf43	TAC4	FAM83B	SUSD5	TTLL6	SLC39A5	LINC00939	TCEAL9	CDH26	SOX4	NR0B1	CLEC14A	RAD21-AS1	PTPN7	APP	RPL37A	NT5DC2	HVCN1	SYPL2	KLF10	CSF1R	EEF1A1	QPCT	KLRB1	IGHA2	SPARC	CAPN6	CARHSP1	BMP5
CLIP2	CRB1	PGAP2	SPATA42	SNORC	RPS24	KLK11	REN	VGF	BCL6B	LINC02050	FAM181B	ADRA2A	NIT2	HRK	DCDC2C	SLC8A1-AS1	LINC01242	TIGIT	ENHO	SRM	KIF22	OSBPL10-AS1	NPAS4	NFKBIA	VMO1	RPL35A	SRGN	S1PR5	FKBP2	MAP3K7CL	NXT2	HIST1H4C	SERPING1
MYCBP2	NTRK1	PODXL2	ZNF804B	GPR12	IL12A-AS1	ZNF502	APLN	TBC1D14	STC1	PBOV1	GDF3	SLC18A2	NUDT10	NEIL1	BVES-AS1	RAG2	PRDM13	CLEC2B	IL3RA	MYB	HIST1H1E	LINC02397	NAT2	EMP3	TCF7L2	TRAC	MS4A6A	B2M	IGF1	LY6G6F	KIAA1522	H2AFV	FSTL1
AFF1	FOXJ1	SND1	CDSN	ERLIN1	EBPL	TRIM68	MUC5AC	OGFRP1	NBPF20	HHIPL2	SCN7A	CDH6	AC118754.1	LINC02227	IGHV3OR16-10	ZCCHC7	SPERT	SYNE2	PPP1R14B	AHCY	MRPL33	CD52	MTNR1B	CD300E	LYPD2	RPL9	CDA	APMAP	AMPD1	HGD	TRIM63	PIMREG	NTRK2
SYT10	CFAP126	RFX7	P4HA3-AS1	P4HB	SLC1A6	CAMTA1-DT	AC004947.1	CDX2	EXTL3-AS1	SAMSN1-AS1	ADSSL1	RBPMS2	DARS	CD38	OR2D2	LINC00426	SAPCD1	ZNF683	UGCG	UQCRH	KIAA0930	RPS11	ERLNC1	ITM2B	SIGLEC10	LEPROTL1	APLP2	ITGB2	LINC00582	LGALSL	CES5A	NUCKS1	CHL1
SPACA9	LINC00535	NXF3	LINC01977	CEACAM6	RPL15	PRICKLE2-AS3	AC008403.2	FAM53A	OR2AE1	FGF14	LINC00407	ACTN1	RAB7B	LDLRAD4	RNF225	FHIT	CISTR	F2R	CLEC4C	NPM3	MZT2B	TLR10	ZNF736	ATP2B1	LYN	RPS6	GRN	KLRC1	IGHG2	CTTN	USH1G	ASF1B	CALD1
ZNF295-AS1	FAM83F	NUP98	TTLL10	CEBPE	RPL26	NKAIN1	RERE	LINC01152	SHANK1	OR7D2	FP236241.1	ADCY6	PLAGL1	BMP3	LINC01391	LINC00114	SLC39A2	STK17A	SCT	PEBP1	SERPINB8	BIRC3	MUC6	CLEC4A	CKB	RPS16	MCL1	TTC38	ANKRD28	LCN2	ENOX1-AS1	VDAC1	COL1A2
LAMA3	MORN5	TPM1-AS	OR2T33	PRSS21	NPDC1	WWC3-AS1	SYN3	KCNJ16	NPIPB8	ZNF763	SPINK9	ITGA2	ME3	BEST3	GNG13	QRSL1	UBAC2-AS1	A2M-AS1	GPR183	SORD	TPM3	CYB561A3	KCNN2	LGALS3	ZNF703	CD3D	METTL9	SH2D1B	DPEP1	HIST1H3H	GLIS3-AS1	CENPF	LPL
CCDC122	ENPP3	VWA2	OR2T8	MAPK12	NKAIN2	LRRC19	PPP1R1C	LSM14B	KANTR	LAMC2	ZNF479	DTD1	RPN2	ABHD15	HMX2	MT1X	GTF3C2-AS1	MIAT	SEC61B	PMP22	HNRNPD	SPIB	DKK2	PLSCR1	VSIR	RPS28	TNFSF13B	HLA-A	RASGRP3	TSC22D1	HSFY2	IGLC5	GAS6
PARD3-AS1	SPAG6	DPP10	ANKRD7	TSPOAP1	HINT1	ZNF232	LUNAR1	PRR3	MTCP1		TRBV15	TRPC6	MMP7	STIM2	NPR1	SMAD1	ZACN	GUK1	ALOX5AP	CASP3	ANKRD13D	COBLL1	IQCH-AS1	DUSP6	LILRB2	RPL19	MGST1	CD160	PARM1	ITGB3	CNGA4	ZWINT	FRZB
LINC00333	TTC29	SLC29A2	SOX21-AS1	DPM3	HMGA2	HSF2BP	KCNMB4	CCDC182	ASB14		IPO9-AS1	LTC4S	AADAT	PAX5	LINC01731	CMTM7		TENT5C	CD1C	GNL3	SUB1	CD19	IL17B	CPVL	HCK	RPS20	CYBB	PFN1	CTHRC1	GNAZ	BOLL	HMGB3	FMO3
C22orf15	LINC01090	FNDC10	ZNF112	GPI	GUCY1A1	LMOD2	C21orf91-OT1	BMP8A	INSL4		SPINK1	PTGER3	LINC01515	CDC25B	DYDC1	XXYLT1-AS2		RASAL3	HLA-DMB	GSTM3	ASRGL1	GNG7	FBXO41	PTP4A2	LILRA1	RPL3	PLAUR	IFITM1	IGKV1-12	ENKUR	SLC25A2	MAD2L1	FBLN1
GNA14	LINC01983	GALR3	WNT8A	PKP2	CALN1	OR2W3	NDST3	ALDH3B2	ODAPH		SPATA31A6	RAB38	FAM92A	HIST1H1C	PAN3-AS1	P4HA2		SRSF7	TCF4	TUFM	NDUFS6	CLECL1	TDRD7	IRF2BP2	LILRA5	PIK3IP1	MPEG1	NCR3	CHPF	HIST1H2BJ	AOC1	TMSB15A	ALDH1A3
STAP2	PAQR5	CELA2B	CTAGE6	NRG4	HLF	ADGRD2	WDR72	FP565260.3	STRADA		ERVH48-1	EFNB2	DANT2	MIR181A1HG	SSX5	PXDN		IFNG	LILRB4	MRPS25	PRLR	1-Mar	SACS	CDKN1A	NAP1L1	RPL27A	STXBP2	HCST	DNAAF1	SPOCD1	IGFBPL1	HNRNPA2B1	CCDC80
TMEM200A	IL4	ANKRD29	C2orf66	PCBP3	CDH7	SYT3	NEK10	EPOP	LGI1		OSBPL6	STUM	HTRA3	TMEM243	SHROOM3	LHPP		TMA7	DNASE1L3	PRMT1	ALYREF	CD83	CALR3	PFKFB3	WARS	RPL41	GAPDH	CHST12	MANF	TRAPPC3L	CTNND2	CRNDE	RBP1
CPA2	NOL4L-DT	LINC01785	TCF15	DDAH1	MECOM	LINC02644	BCL2L10	FP565260.1	LINC02569		LINC01962	RAC3	INPP5J	KLHL14	AL353616.2	SIAH2		ATG2A	AC119428.2	MORF4L2	MRPL23	TMEM156	KCNS1	CCR1	TPPP3	NOSIP	SH3BGRL3	ADGRG1	FCRL5	NCOA4	LHX5	H2AFX	EPAS1
POLR3D	LINC02147	RNF169	CLRN1-AS1	PPP1R27	DLK1	RASEF	PURG	AGAP14P			HEPN1	TPI1	CGREF1	BTBD3	HCRTR1	ZNF22		CRTAM	LGMN	CASP6	NDUFB11	CPNE5	SPATA16	APOBEC3A	BATF3	RPS3	CSF3R	FCRL6	IGHG4	C19orf33	TYRO3	USP1	BGN
KIF9-AS1	TPSD1	OOSP4B	SWT1	METTL26	CD164	ITPR1-DT	PHGR1	POTEE			TRPV6	OLFM3	TMCC1-AS1	RAPGEF5	LINC01856	NPY		UBC	LRRC26	PPA1	CEBPA	MEF2C	SLC28A3	BCL2A1	BID	RPL38	TREM1	PRSS23	MYDGF	GP1BA	TNFSF15	SPC25	TNC
ANTXRL	MSMB	RAET1G	WDYHV1	AFF2	KRT8	BSCL2	IGFBP7-AS1	AP001999.1			RHBDL2	TEAD4	PDCD5	PPP1R14A	TUSC8	CCDC81		PTPN22	PTPRS	CHCHD2	RECK	CXCR5	CHD5	EVI2B	C5AR1	JUNB	OAZ1	C1orf21	KDELR3	TNNC2	KCNMA1-AS1	CMTM8	DDR2
MYO18B	GABRB3	LRRC2-AS1	ZNF496	PHKA1	CHRM3	IQANK1	LNCAROD	B4GALNT4			GALR1	RAB3C	B4GALT6	ADAM23	ITLN2	ERGIC1		MSC	RNASE6	COL6A5	IQGAP3	PLPP5	PHKG1	TLE3	PECAM1	RPS13	KCTD12	XCL2	SPCS2	AQP10	LINC01447	DEK	LTBP2
RTN4R	LINC02208	LINC01033	CES3	DEFA4	EMCN	TUBA3D	PADI3	LINC01108			C14orf178	HTR2A	LRRC34	STARD4-AS1	HNF4A	GABPB1		TPRG1	SCN9A	TMEM97	CITED4	EZR	NPIPA1	UPP1	CSTB	RPS10	RAB31	MYO1F	BHLHE41	MPIG6B	HACD2	RAD51AP1	EBF3
WT1-AS	PCDHGA1	LINC00668	ACE2	PRRT4	GCSAML	NPIPB9	HDHD5-AS1	C9orf131			LINC02142	MGLL	ZBED3	BTK	CHRNA9	BLNK		PPDPF	JAML	CMSS1	PHPT1	SWAP70	HS6ST2	FCGR2A	JPT1	MAL	C4orf48	JAK1	PDIA4	SCN1B	LINC01976	HMGN1	PAPPA
LNCTAM34A	LINC02022	PAQR3	LRP2	BMX	CCDC42	LINC02531	PON1	PODXL			HMCN2	RYR2	GATM	TCL1B	THORLNC	TP53INP1		TNFRSF9	SHD	NHP2	HSPA5	FCGR2B	MYBPHL	CD86	SLC7A7	RPL18	MT-CO1	ZAP70	BRSK1	C15orf54	TGM5	UBE2C	IGFBP2
LINC00958	TERB1	STKLD1	NSMAF	KCNG2	EEF2	PRSS12	NBAT1	EPO			MSANTD1	PPIF	HOXA5	ERP29	ZNF385D-AS1	NFIA-AS2		TTC16	PROC	AK2	RPN1	NFKBID	CLPSL2	IER5	RNASET2	RPL27	CFP	RAC2	ABCB9	AC137932.2	TEX49	CD72	FMO2
ZSCAN29	MAPK15	CASC3	MATN2	MEGF6	ADGRG6		SGK2	CATSPERZ				DKK1	FOLH1	TRABD	HSPB9	HHIP		PARP8	SLC15A4	KCNK5	NDUFA3	AIM2	HAPLN4	RAP2B	TNFRSF1B	RPL36	CD302	HLA-E	CRELD2	PF4V1	CD200R1L	CDCA8	PLAC9
FLRT1	TCN1	OTUD6B	LINC01602	GOLGA8N	LAPTM4B		CDRT4	SYT7				TTC27	GPX7	TAX1BP3	GOLGA6L6	MPPED2		LINC00987	ASIP	MRPL52	MT-CYB	ZBTB32	LINC00900	SEC11A	C1QA	RPS18	FPR1	SAMD3	IGLL5	ALOX12	FAM83E	SLC25A5	ENPEP
LINC01827	SMCO2	LINC02036	MIR1302-2HG	RAVER2	RPS9		LINC01887	TERC				PDIA5	SLC35F2	RIMS3	AP003392.4	NAV1		RNF19A	PPM1J	SLC27A2	WDFY2	SMIM14	GPAT2	TNFAIP2	UNC119	NOP53	TKT	PLAAT4	ITGA8	PDZK1IP1	HSPA12B	E2F2	ECM2
LINC01423	AC004148.1	SULT1A4	ZNF625-ZNF20	APOA1	KRT18		UBE2E1-AS1	MNX1-AS2				GSTT2B	HIBCH	SYK	ADAD2	SPANXB1		ITGB1	TGFBI	COQ8A	TMBIM6	IFT57	TLX2	PLIN2	LINC02345	MALAT1	CAPG	BIN2	SELENOS	BEND2	MYBPC1	PARP1	MGP
ASPN	TTC23L	C9	ZNF99	RFX8	SYPL1		ATP6V1G2	ATP6V0A4				KALRN	DOCK1	TM7SF2	GRIN2A	SARDH		JMJD6	BCL11A	TMEM246	TMEM160	SEL1L3	ENPP6	ZEB2	CAMK1	RPL10A	ITGAM	PYHIN1	IGLV6-57	NT5C3A	LINC02640	MXD3	TNFAIP6
INSC	RBM46	ZNF616	MAST1	LINC01405	ZNF521		ELF3-AS1					SLC37A1	MAMDC2	DDX54	AMH	HHIP-AS1		TRG-AS1	PLAC8	MGST2	MBD3	TPD52	LINC01664	HMOX1	DRAP1	TRBC2	VIM	TBX21	AC012236.1	FERMT3	WFDC3	ACTG1	RBMS3
ATP5MF-PTCD1	LINC01764	MYRIP	ZBTB26	KRT17	UCHL1		URAD					EXOC3L4	TRIM9	LIMD2	FAM135B	GAB1		SLA	TSPAN13	GGCT	P2RY2	BACE2	D2HGDH	IER3	SLC2A6	ZFP36L2	PYCARD	KLRC2	UBE2J1	TUBA4A	AC107294.2	TPX2	EPHX1
C1orf210	SPATA17	COL20A1	ADH6	RAB11FIP3	HOXA9		LINC01914					PRKG1	TMEM121	CCDC69	LINC02367	AQP5		GBP5	TNFRSF21	FBL	IL1RAP	CNR2	JPH2	VMP1	NAAA	RPL14	BST1	LITAF	CADPS2	SCGB1C2	IGSF9	CDCA5	ALPL
