celltype	marker_gene
CD34_pos_Gran	WSCD1
CD34_pos_Gran	CKM
CD34_pos_Gran	LURAP1
CD34_pos_Gran	PRDM8
CD34_pos_Gran	PRKRA-AS1
CD34_pos_Gran	URI1
CD34_pos_Gran	CERS1
CD34_pos_Gran	F2
CD34_pos_Gran	TMPRSS11B
CD34_pos_Gran	SMIM32
CD34_pos_Gran	SNX31
CD34_pos_Gran	CU633906.1
CD34_pos_Gran	SV2B
CD34_pos_Gran	CHRNB4
CD34_pos_Gran	LOXL4
CD34_pos_Gran	MIB1
CD34_pos_Gran	ST8SIA2
CD34_pos_Gran	LINC01589
CD34_pos_Gran	CADM3-AS1
CD34_pos_Gran	LINC01670
CD34_pos_Gran	ZBTB12
CD34_pos_Gran	KCNJ11
CD34_pos_Gran	TREM2
CD34_pos_Gran	OCLN
CD34_pos_Gran	CYP4F11
CD34_pos_Gran	C2orf80
CD34_pos_Gran	GPR3
CD34_pos_Gran	LINC01471
CD34_pos_Gran	COL17A1
CD34_pos_Gran	CDRT15L2
CD34_pos_Gran	SOX18
CD34_pos_Gran	ANKS6
CD34_pos_Gran	FLNC
CD34_pos_Gran	LINC02076
CD34_pos_Gran	BSN
CD34_pos_Gran	ANKRD45
CD34_pos_Gran	WDR6
CD34_pos_Gran	IGLON5
CD34_pos_Gran	CCT6B
CD34_pos_Gran	MSH5-SAPCD1
CD34_pos_Gran	INSYN2B
CD34_pos_Gran	MYH6
CD34_pos_Gran	MIR302CHG
CD34_pos_Gran	PYDC1
CD34_pos_Gran	C2CD4B
CD34_pos_Gran	HRH4
CD34_pos_Gran	SLC5A11
CD34_pos_Gran	GOLGA8O
CD34_pos_Gran	SPATA12
CD34_pos_Gran	LINC01862
CD34_pos_Gran	TMPRSS6
CD34_pos_Gran	SPINK8
CD34_pos_Gran	ANXA9
CD34_pos_Gran	GNAT2
CD34_pos_Gran	KCNJ6
CD34_pos_Gran	TBPL2
CD34_pos_Gran	CILP2
CD34_pos_Gran	GPR37L1
CD34_pos_Gran	STPG3
CD34_pos_Gran	NEURL4
CD34_pos_Gran	IFNB1
CD34_pos_Gran	MOBP
CD34_pos_Gran	SEMA3B-AS1
CD34_pos_Gran	RIMBP3C
CD34_pos_Gran	MAB21L3
CD34_pos_Gran	VCAN-AS1
CD34_pos_Gran	TFF1
CD34_pos_Gran	GRM1
CD34_pos_Gran	HIGD1C
CD34_pos_Gran	SYP-AS1
CD34_pos_Gran	NANOGNB
CD34_pos_Gran	ODF3
CD34_pos_Gran	PGAM4
CD34_pos_Gran	KCTD16
CD34_pos_Gran	CD81-AS1
CD34_pos_Gran	COL4A5
CD34_pos_Gran	MCM8-AS1
CD34_pos_Gran	HTD2
CD34_pos_HSC	CRHBP
CD34_pos_HSC	AVP
CD34_pos_HSC	NPR3
CD34_pos_HSC	LINC02573
CD34_pos_HSC	AJ009632.2
CD34_pos_HSC	FAM30A
CD34_pos_HSC	MYCT1
CD34_pos_HSC	CRYGD
CD34_pos_HSC	EGFL7
CD34_pos_HSC	BEX1
CD34_pos_HSC	CD34
CD34_pos_HSC	ZFAS1
CD34_pos_HSC	PROM1
CD34_pos_HSC	HTR1F
CD34_pos_HSC	LINC01122
CD34_pos_HSC	CYTL1
CD34_pos_HSC	MSRB3
CD34_pos_HSC	BAALC
CD34_pos_HSC	PRKG2
CD34_pos_HSC	HOXB-AS3
CD34_pos_HSC	RACK1
CD34_pos_HSC	RBPMS
CD34_pos_HSC	C9orf43
CD34_pos_HSC	RPS24
CD34_pos_HSC	IL12A-AS1
CD34_pos_HSC	EBPL
CD34_pos_HSC	SLC1A6
CD34_pos_HSC	RPL15
CD34_pos_HSC	RPL26
CD34_pos_HSC	NPDC1
CD34_pos_HSC	NKAIN2
CD34_pos_HSC	HINT1
CD34_pos_HSC	HMGA2
CD34_pos_HSC	GUCY1A1
CD34_pos_HSC	CALN1
CD34_pos_HSC	HLF
CD34_pos_HSC	CDH7
CD34_pos_HSC	MECOM
CD34_pos_HSC	DLK1
CD34_pos_HSC	CD164
CD34_pos_HSC	KRT8
CD34_pos_HSC	CHRM3
CD34_pos_HSC	EMCN
CD34_pos_HSC	GCSAML
CD34_pos_HSC	CCDC42
CD34_pos_HSC	EEF2
CD34_pos_HSC	ADGRG6
CD34_pos_HSC	LAPTM4B
CD34_pos_HSC	RPS9
CD34_pos_HSC	KRT18
CD34_pos_HSC	SYPL1
CD34_pos_HSC	ZNF521
CD34_pos_HSC	UCHL1
CD34_pos_HSC	HOXA9
CD34_pos_HSC	BEX2
CD34_pos_HSC	HOXB5
CD34_pos_HSC	IL18
CD34_pos_HSC	BTF3
CD34_pos_HSC	BST2
CD34_pos_HSC	TMEM163
CD34_pos_HSC	ARMCX1
CD34_pos_HSC	NACA
CD34_pos_HSC	ARNTL2-AS1
CD34_pos_HSC	MFAP2
CD34_pos_HSC	ROBO4
CD34_pos_HSC	HOXA7
CD34_pos_HSC	GSTM5
CD34_pos_HSC	GNAI1
CD34_pos_HSC	FAM133A
CD34_pos_HSC	HOXA6
CD34_pos_HSC	CCDC175
CD34_pos_HSC	EHD2
CD34_pos_HSC	DPPA4
CD34_pos_HSC	TCTEX1D1
CD34_pos_HSC	NRIP1
CD34_pos_HSC	CLEC9A
CD34_pos_HSC	SULT1C4
CD34_pos_HSC	DSG2
CD34_pos_HSC	PLOD2
CD34_pos_HSC	AC092171.3
CD34_pos_HSC	C3orf80
CD34_pos_HSC	EIF3L
CD34_pos_HSC	HOXA10-AS
CD34_pos_HSC	TCEAL2
CD34_pos_HSC	ZBTB8A
CD34_pos_HSC	EPCAM-DT
CD34_pos_HSC	TMEM136
CD34_pos_HSC	ITGA9
CD34_pos_HSC	SAMD13
CD34_pos_HSC	HOXA10
CD34_pos_HSC	EPB41L4A-AS1
CD34_pos_HSC	ATP1B1
CD34_pos_HSC	UBR5-AS1
CD34_pos_HSC	MIR1915HG
CD34_pos_HSC	CTSF
CD34_pos_HSC	HOXA3
CD34_pos_HSC	CBX2
CD34_pos_HSC	TCEAL4
CD34_pos_HSC	PCDH17
CD34_pos_HSC	PRDM16-DT
CD34_pos_HSC	BAALC-AS2
CD34_pos_HSC	RSL1D1
CD34_pos_HSC	NKX2-3
CD34_pos_HSC	TAOK3
CD34_pos_HSC	NPM2
CD34_pos_HSC	ATP2C1
CD34_pos_HSC	HOXB6
CD34_pos_HSC	SPOCK3
